"OTUs";"taxa";"Log_ratio.max";"glmnet_sign.ext.3.T2C";"glmnet_sign.ext.3.T2HW";"glmnet_sign.ext.5.T2C";"glmnet_sign.ext.5.T2HW";"glmnet_sign.ext.10.T2C";"glmnet_sign.ext.10.T2HW";"Aldex.kw.noadjust.0.05";"simper.rel";"CYM_T2C_1";"CYM_T2C_2";"CYM_T2C_3";"CYM_T2HW_1";"CYM_T2HW_2";"CYM_T2HW_3"
"OTU56";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__uncultured;__";1;0;1;0;1;0;1;0;1;0,00318094068094068;0,00381007300923685;0,00407722007722008;0,002620325101807;0,00291878172588832;0,00278018727341474
"OTU57";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;__";0;0;0;0;0;0;0;0;1;0,00270928395928396;0,00360412311684567;0,00365508365508366;0,0081218734757308;0,00268612521150592;0,00217966682235715
"OTU58";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__uncultured_Bacteroidetes";0;0;0;0;0;0;0;0;0;0,000493594243594244;0,00065903965565178;0,000669240669240669;0,000340301961273637;0,000454737732656514;0,00063388269833856
"OTU59";"d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota;g__Latescibacterota;s__bacterium_enrichment";1;0;0;0;0;0;0;0;0;0,000153562653562654;0,000360412311684567;0,000226512226512227;0,000760007713511122;0,000571065989847716;0,000389226218278063
"OTU60";"d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calditrichaceae;s__uncultured_bacterium";0;0;0;0;0;0;0;0;0;0,00501272376272376;0,00616819927711588;0,00576576576576577;0,00484363124879476;0,00573181049069374;0,00544916705589289
"OTU61";"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;__";1;0;0;0;0;0;0;0;1;0,0226724289224289;0,0171144360577072;0,0241029601029601;0,016935694272718;0,0127326565143824;0,016369742665866
"OTU62";"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__";1;0;0;0;0;0;0;0;1;0,0323249385749386;0,0263924787099299;0,0267387387387387;0,0114341458987942;0,013663282571912;0,0150908565200952
"OTU63";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Candidatus_Thiodiazotropha;__";1;0;0;0;0;0;1;0;0;0,000943313443313443;0,00104004695657547;0,00101930501930502;0,000374332157401;0,000814297800338409;0,00063388269833856
"OTU64";"d__Eukaryota;__;__;__;__;__;__";0;0;0;0;0;0;0;0;0;0,000778782028782029;0,000473684752499717;0,000586872586872587;0,000385675556110122;0,000867174280879865;0,00102310891661662
"OTU65";"d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calditrichaceae;__";0;0;0;0;0;0;0;0;1;0,00130528255528256;0,00167849162298813;0,00153410553410553;0,00254092131084315;0,00217851099830795;0,00205733858232691
"OTU66";"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured;s__uncultured_sediment";1;0;0;0;1;0;1;0;1;0,00238022113022113;0,00315103335358507;0,00302702702702703;0,0010662794786574;0,00162859560067682;0,00181268210226641
"OTU67";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;__";1;0;0;0;1;0;1;0;1;0,0030054405054405;0,00171968160146636;0,00181209781209781;0,000714634118674637;0,000581641285956007;0,00074509018927515
"OTU68";"d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__uncultured_archaeon";0;1;0;1;0;1;0;0;1;0,00143690768690769;0,00119450937586885;0,000916344916344916;0,00137255124380367;0,00208333333333333;0,00282467026978937
"OTU69";"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;__;__";0;0;0;0;0;0;0;0;0;0,00172209547209547;0,00183295404228151;0,00227541827541828;0,002245992944406;0,00217851099830795;0,00250216854607326
"OTU70";"d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;__;__;__";0;1;0;0;0;0;0;0;0;0,000888469638469639;0,000844394558803843;0,000988416988416988;0,000941502092857062;0,00149111675126904;0,00120104090211517
